time,age,gender
2021-04-18 20:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-04-18 20:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-05-01 14:00:00,"[0, 1, 2, 136, 13, 4, 4, 2]","[5, 157]"
2021-05-02 22:00:00,"[0, 0, 2, 109, 3, 3, 1, 0]","[14, 104]"
2021-05-02 22:00:00,"[0, 0, 1, 14, 1, 0, 0, 0]","[1, 15]"
2021-05-03 18:00:00,"[0, 0, 18, 30, 1, 4, 1, 1]","[2, 53]"
2021-05-04 16:00:00,"[0, 0, 6, 71, 3, 18, 4, 0]","[7, 95]"
2021-05-06 16:00:00,"[0, 0, 4, 4, 1, 0, 0, 0]","[0, 9]"
2021-05-12 14:00:00,"[0, 0, 0, 2, 0, 0, 0, 0]","[0, 2]"
2021-05-12 14:00:00,"[0, 0, 0, 6, 0, 0, 0, 0]","[0, 6]"
2021-05-12 14:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-05-17 14:00:00,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 1]"
